Type,Csid,Cgrid,Cap_kW,waitingLine,Vol_0min,Vol_30min,Vol_60min,ElapsedTime
F,90001201,1,0,0,0,0,0,3000
F,90001600,0,0,0,0,0,0,3000
F,90000000,0,0,0,0,0,0,3060
F,90000001,1,0,0,0,0,0,3060
F,90000200,0,0,0,0,0,0,3060
F,90000201,1,0,0,0,0,0,3060
F,90000400,0,0,0,0,0,0,3060
F,90000401,1,0,0,0,0,0,3060
F,90000800,0,0,0,0,0,0,3060
F,90001000,0,0,0,0,0,0,3060
F,90001200,0,0,0,0,0,0,3060
F,90001201,1,0,0,0,0,0,3060
F,90001600,0,0,0,0,0,0,3060
F,90000000,0,0,0,0,0,0,3120
F,90000001,1,0,0,0,0,0,3120
F,90000200,0,0,0,0,0,0,3120
F,90000201,1,0,0,0,0,0,3120
F,90000400,0,0,0,0,0,0,3120
F,90000401,1,0,0,0,0,0,3120
F,90000800,0,0,0,0,0,0,3120
F,90001000,0,0,0,0,0,0,3120
F,90001200,0,0,0,0,0,0,3120
F,90001201,1,0,0,0,0,0,3120
F,90001600,0,0,0,0,0,0,3120
F,90000000,0,0,0,0,0,0,3180
F,90000001,1,0,0,0,0,0,3180
F,90000200,0,0,0,0,0,0,3180
F,90000201,1,0,0,0,0,0,3180
F,90000400,0,0,0,0,0,0,3180
F,90000401,1,0,0,0,0,0,3180
F,90000800,0,0,0,0,0,0,3180
F,90001000,0,0,0,0,0,0,3180
F,90001200,0,0,0,0,0,0,3180
F,90001201,1,0,0,0,0,0,3180
F,90001600,0,0,0,0,0,0,3180
F,90000000,0,0,0,0,0,0,3240
F,90000001,1,0,0,0,0,0,3240
F,90000200,0,0,0,0,0,0,3240
F,90000201,1,0,0,0,0,0,3240
F,90000400,0,0,0,0,0,0,3240
F,90000401,1,0,0,0,0,0,3240
F,90000800,0,0,0,0,0,0,3240
F,90001000,0,0,0,0,0,0,3240
F,90001200,0,0,0,0,0,0,3240
F,90001201,1,0,0,0,0,0,3240
F,90001600,0,0,0,0,0,0,3240
F,90000000,0,0,0,0,0,0,3300
F,90000001,1,0,0,0,0,0,3300
F,90000200,0,0,0,0,0,0,3300
F,90000201,1,0,0,0,0,0,3300
F,90000400,0,0,0,0,0,0,3300
F,90000401,1,0,0,0,0,0,3300
F,90000800,0,0,0,0,0,0,3300
F,90001000,0,0,0,0,0,0,3300
F,90001200,0,0,0,0,0,0,3300
F,90001201,1,0,0,0,0,0,3300
F,90001600,0,0,0,0,0,0,3300
F,90000000,0,0,0,0,0,0,3360
F,90000001,1,0,0,0,0,0,3360
F,90000200,0,0,0,0,0,0,3360
F,90000201,1,0,0,0,0,0,3360
F,90000400,0,0,0,0,0,0,3360
F,90000401,1,0,0,0,0,0,3360
F,90000800,0,0,0,0,0,0,3360
F,90001000,0,0,0,0,0,0,3360
F,90001200,0,0,0,0,0,0,3360
F,90001201,1,0,0,0,0,0,3360
F,90001600,0,0,0,0,0,0,3360
F,90000000,0,90,1,1,0,0,3420
F,90000001,1,0,1,0,0,0,3420
F,90000200,0,0,0,0,0,0,3420
F,90000201,1,0,0,0,0,0,3420
F,90000400,0,0,0,0,0,0,3420
F,90000401,1,0,0,0,0,0,3420
F,90000800,0,0,0,0,0,0,3420
F,90001000,0,0,0,0,0,0,3420
F,90001200,0,0,0,0,0,0,3420
F,90001201,1,0,0,0,0,0,3420
F,90001600,0,0,0,0,0,0,3420
F,90000000,0,90,1,1,0,0,3480
F,90000001,1,0,1,0,0,0,3480
F,90000200,0,0,0,0,0,0,3480
F,90000201,1,0,0,0,0,0,3480
F,90000400,0,0,0,0,0,0,3480
F,90000401,1,0,0,0,0,0,3480
F,90000800,0,0,0,0,0,0,3480
F,90001000,0,0,0,0,0,0,3480
F,90001200,0,0,0,0,0,0,3480
F,90001201,1,0,0,0,0,0,3480
F,90001600,0,0,0,0,0,0,3480
F,90000000,0,90,1,1,0,0,3540
F,90000001,1,0,1,0,0,0,3540
F,90000200,0,0,0,0,0,0,3540
F,90000201,1,0,0,0,0,0,3540
F,90000400,0,0,0,0,0,0,3540
F,90000401,1,0,0,0,0,0,3540
F,90000800,0,0,0,0,0,0,3540
F,90001000,0,0,0,0,0,0,3540
F,90001200,0,0,0,0,0,0,3540
F,90001201,1,0,0,0,0,0,3540
F,90001600,0,0,0,0,0,0,3540
F,90000000,0,90,1,1,0,0,3600
F,90000001,1,0,1,0,0,0,3600
F,90000200,0,0,0,0,0,0,3600
F,90000201,1,0,0,0,0,0,3600
F,90000400,0,0,0,0,0,0,3600
F,90000401,1,0,0,0,0,0,3600
F,90000800,0,0,0,0,0,0,3600
